variable,coef,std_err,z,p_value,ci_low,ci_high,model,nobs,r2,r2_adj
C(year_month)[T.2022-01],0.06685859442358977,0.34585979045048365,0.19331126736793022,0.8467152026759506,-0.6110141385599283,0.7447313274071078,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-02],-0.06083832120422983,0.3404057419608725,-0.17872295823735787,0.8581552413564547,-0.728021315578175,0.6063446731697153,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-03],0.30317310320637647,0.3333478416760571,0.9094797244884999,0.3630969555963456,-0.3501766608028555,0.9565228672156084,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-04],0.5321756914528386,0.32191035935251716,1.653179762599887,0.09829428389686182,-0.09875701912844159,1.1631084020341187,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-05],0.5987921205584283,0.3205150291579411,1.8682185422991813,0.061731615260844606,-0.029405793094941512,1.226990034211798,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-06],0.6272334348743671,0.3190954272795707,1.9656609943357977,0.049337783335844175,0.0018178897749886458,1.2526489799737455,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-07],0.5144837130165325,0.32491089195769135,1.5834609603777967,0.11331643802858696,-0.12232993340532727,1.1512973594383924,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-08],0.7299004358620778,0.3144840822779165,2.320945564478677,0.020289781965457554,0.11352296088623026,1.3462779108379253,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-09],0.5037013238146135,0.33608131186936446,1.4987483862548219,0.13393891899060467,-0.15500594332631457,1.1624085909555415,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-10],0.6431969393464483,0.29479580003609146,2.1818388839586675,0.029121425696693085,0.06540778848203743,1.2209860902108591,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-11],0.45130803909089945,0.30141881417932687,1.497278928389643,0.1343206953967738,-0.13946198096335216,1.042078059145151,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2022-12],0.3785575521678126,0.31822716333146706,1.1895827754135027,0.23421041912533924,-0.24515622686420813,1.0022713311998332,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-01],0.29405452067536164,0.3212900959187927,0.9152305794999825,0.36007059432865995,-0.3356624959148915,0.9237715372656148,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-02],0.03170213235388797,0.3167094206245747,0.10009848236079934,0.9202661401830609,-0.5890369256348255,0.6524411903426014,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-03],0.21791723930795026,0.3168665066528675,0.6877256975180474,0.491625534301397,-0.40312970163869144,0.838964180254592,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-04],0.22442893187514912,0.3170162441432432,0.7079414257830312,0.47898163285343953,-0.3969114891597644,0.8457693529100626,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-05],0.31258318556781717,0.32216639961403876,0.9702538375892009,0.33191998101105913,-0.31885135470463755,0.9440177258402719,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-06],0.2974024438192924,0.32018112302348584,0.9288568951564249,0.35296325428372155,-0.3301410258363282,0.924945913474913,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-07],0.24673331435551515,0.3390715967279659,0.7276732015789193,0.4668136586559195,-0.41783480341178725,0.9113014321228176,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-08],0.4197272849256777,0.31117054421486545,1.348865735298689,0.17738009579466985,-0.19015577478518708,1.0296103446365423,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-09],0.3449512610653036,0.301082550258616,1.1457032656625445,0.2519179521705731,-0.24515969381505454,0.9350622159456617,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-10],0.41171602505477267,0.31436053290200455,1.3096937495748446,0.19029945890856703,-0.20441929759397492,1.0278513477035203,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-11],0.22359073548115216,0.30899293647729953,0.7236111544497345,0.46930449143041675,-0.38202429149162764,0.829205762453932,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2023-12],0.25775477639767086,0.31682066027419703,0.8135668178160895,0.41589315355633283,-0.3632023072979552,0.8787118600932969,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-01],0.01582220570166548,0.35182334291287576,0.04497201797546343,0.9641296128010536,-0.6737388753280563,0.7053832867313873,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
